ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
427,50.00,square_kernel,square_kernel,14.30,7.15,7.79,92.20,18,"  512,    1,    1","  128,    1,    1"
397,50.00,square_kernel,square_kernel,14.59,7.30,7.80,94.63,18,"  512,    1,    1","  128,    1,    1"
338,50.00,square_kernel,square_kernel,14.02,7.01,7.80,92.84,18,"  512,    1,    1","  128,    1,    1"
370,50.00,square_kernel,square_kernel,14.21,7.10,7.81,90.33,18,"  512,    1,    1","  128,    1,    1"
386,50.00,square_kernel,square_kernel,14.18,7.09,7.81,92.67,18,"  512,    1,    1","  128,    1,    1"
425,50.00,square_kernel,square_kernel,14.34,7.17,7.82,92.05,18,"  512,    1,    1","  128,    1,    1"
376,50.00,square_kernel,square_kernel,14.34,7.17,7.84,92.36,18,"  512,    1,    1","  128,    1,    1"
343,50.00,square_kernel,square_kernel,14.14,7.07,7.84,94.55,18,"  512,    1,    1","  128,    1,    1"
356,50.00,square_kernel,square_kernel,13.89,6.94,7.84,91.16,18,"  512,    1,    1","  128,    1,    1"
377,50.00,square_kernel,square_kernel,14.21,7.10,7.86,91.63,18,"  512,    1,    1","  128,    1,    1"
439,50.00,square_kernel,square_kernel,14.24,7.12,7.88,92.42,18,"  512,    1,    1","  128,    1,    1"
423,50.00,square_kernel,square_kernel,14.24,7.12,7.91,92.19,18,"  512,    1,    1","  128,    1,    1"
111,65.50,distribution_elementwise_grid_stride_kernel,..distribution_elementwise_grid_stride_kernel..,5.79,3.79,17.39,2.31,42,"   32,    1,    1","  256,    1,    1"
222,8.39,distribution_elementwise_grid_stride_kernel,..distribution_elementwise_grid_stride_kernel..,10.46,0.88,47.52,6.35,42,"  160,    1,    1","  256,    1,    1"
333,10.41,distribution_elementwise_grid_stride_kernel,..distribution_elementwise_grid_stride_kernel..,23.94,2.49,60.77,16.75,42,"  160,    1,    1","  256,    1,    1"
444,11.42,distribution_elementwise_grid_stride_kernel,..distribution_elementwise_grid_stride_kernel..,123.26,14.07,68.95,46.75,42,"  160,    1,    1","  256,    1,    1"
